instType,instId,tradeId,ordId,clOrdId,billId,tag,fillPx,fillSz,side,posSide,execType,feeCcy,fee,ts,subType
SWAP,YGG-USDT-SWAP,99483120,682436302578888707,null,682436302641803297,null,0.5705,1401.0,buy,net,M,USDT,-0.06394164,1708977493000,1
SWAP,YGG-USDT-SWAP,99483274,682436302578888707,null,682436975387193388,null,0.5705,1560.0,buy,net,M,USDT,-0.0711984,1708977653000,1
SWAP,YGG-USDT-SWAP,99483092,682436302578888707,null,682436302587277325,null,0.5704,20.0,buy,net,T,USDT,-0.0034224,1708977493000,1
SWAP,YGG-USDT-SWAP,99483097,682436302578888707,null,682436302587277339,null,0.5704,70.0,buy,net,T,USDT,-0.0119784,1708977493000,1
SWAP,YGG-USDT-SWAP,99483266,682436302578888707,null,682436932399771692,null,0.5705,300.0,buy,net,M,USDT,-0.013692,1708977643000,1
SWAP,YGG-USDT-SWAP,99483271,682436302578888707,null,682436975378804758,null,0.5705,593.0,buy,net,M,USDT,-0.02706452,1708977653000,1
SWAP,YGG-USDT-SWAP,99483102,682436302578888707,null,682436302587277349,null,0.5705,263.0,buy,net,T,USDT,-0.04501245,1708977493000,1
SWAP,YGG-USDT-SWAP,99483277,682436302578888707,null,682436975387193403,null,0.5705,5171.0,buy,net,M,USDT,-0.23600444,1708977653000,1
SWAP,YGG-USDT-SWAP,99483279,682436302578888707,null,682436975391387691,null,0.5705,3223.0,buy,net,M,USDT,-0.14709772,1708977653000,1
SWAP,YGG-USDT-SWAP,99483228,682436302578888707,null,682436695094440025,null,0.5705,300.0,buy,net,M,USDT,-0.013692,1708977587000,1
SWAP,YGG-USDT-SWAP,99483099,682436302578888707,null,682436302587277341,null,0.5704,332.0,buy,net,T,USDT,-0.05681184,1708977493000,1
SWAP,YGG-USDT-SWAP,99483104,682436302578888707,null,682436302587277372,null,0.5705,495.0,buy,net,T,USDT,-0.08471925,1708977493000,1
SWAP,YGG-USDT-SWAP,99483269,682436302578888707,null,682436975370416155,null,0.5705,14948.0,buy,net,M,USDT,-0.68222672,1708977653000,1
SWAP,YGG-USDT-SWAP,99483091,682436302578888707,null,682436302587277324,null,0.5703,25.0,buy,net,T,USDT,-0.00427725,1708977493000,1
SWAP,YGG-USDT-SWAP,99483095,682436302578888707,null,682436302587277334,null,0.5704,5.0,buy,net,T,USDT,-0.0008556,1708977493000,1
SWAP,YGG-USDT-SWAP,99483106,682436302578888707,null,682436302587277393,null,0.5705,60.0,buy,net,T,USDT,-0.010269,1708977493000,1
SWAP,YGG-USDT-SWAP,99483278,682436302578888707,null,682436975391387657,null,0.5705,986.0,buy,net,M,USDT,-0.04500104,1708977653000,1
SWAP,YGG-USDT-SWAP,99483093,682436302578888707,null,682436302587277330,null,0.5704,1.0,buy,net,T,USDT,-0.00017112,1708977493000,1
SWAP,YGG-USDT-SWAP,99483217,682436302578888707,null,682436557257027604,null,0.5705,152.0,buy,net,M,USDT,-0.00693728,1708977554000,1
SWAP,YGG-USDT-SWAP,99483272,682436302578888707,null,682436975378804762,null,0.5705,300.0,buy,net,M,USDT,-0.013692,1708977653000,1
SWAP,YGG-USDT-SWAP,99483131,682436302578888707,null,682436302729883671,null,0.5705,5624.0,buy,net,M,USDT,-0.25667936,1708977493000,1
SWAP,YGG-USDT-SWAP,99483096,682436302578888707,null,682436302587277335,null,0.5704,70.0,buy,net,T,USDT,-0.0119784,1708977493000,1
SWAP,YGG-USDT-SWAP,99483088,682436302578888707,null,682436302587277320,null,0.5703,3.0,buy,net,T,USDT,-0.00051327,1708977493000,1
SWAP,YGG-USDT-SWAP,99483276,682436302578888707,null,682436975387193395,null,0.5705,660.0,buy,net,M,USDT,-0.0301224,1708977653000,1
SWAP,YGG-USDT-SWAP,99483089,682436302578888707,null,682436302587277321,null,0.5703,812.0,buy,net,T,USDT,-0.13892508,1708977493000,1
SWAP,YGG-USDT-SWAP,99483107,682436302578888707,null,682436302587277397,null,0.5705,456.0,buy,net,T,USDT,-0.0780444,1708977493000,1
SWAP,AR-USDT-SWAP,22214149,683822081666420756,null,683822673214279813,null,27.301,61.0,sell,net,T,USDT,-0.04996083,1709308030000,2
SWAP,AR-USDT-SWAP,22214158,683822081666420756,null,683822673214279872,null,27.3,1.0,sell,net,T,USDT,-0.000819,1709308030000,2
SWAP,AR-USDT-SWAP,22214034,683822081666420756,null,683822673197502519,null,27.327,165.0,sell,net,T,USDT,-0.13526865,1709308030000,2
SWAP,AR-USDT-SWAP,22214053,683822081666420756,null,683822673201696802,null,27.317,74.0,sell,net,T,USDT,-0.06064374,1709308030000,2
SWAP,AR-USDT-SWAP,22214104,683822081666420756,null,683822673210085389,null,27.308,59.0,sell,net,T,USDT,-0.04833516,1709308030000,2
SWAP,AR-USDT-SWAP,22214111,683822081666420756,null,683822673210085451,null,27.307,4.0,sell,net,T,USDT,-0.00327684,1709308030000,2
SWAP,AR-USDT-SWAP,22214113,683822081666420756,null,683822673210085464,null,27.307,54.0,sell,net,T,USDT,-0.04423734,1709308030000,2
SWAP,AR-USDT-SWAP,22214165,683822081666420756,null,683822673218473997,null,27.3,500.0,sell,net,T,USDT,-0.4095,1709308030000,2
SWAP,AR-USDT-SWAP,22214060,683822081666420756,null,683822673201696849,null,27.315,124.0,sell,net,T,USDT,-0.1016118,1709308030000,2
SWAP,AR-USDT-SWAP,22214145,683822081666420756,null,683822673214279786,null,27.302,61.0,sell,net,T,USDT,-0.04996266,1709308030000,2
SWAP,AR-USDT-SWAP,22214063,683822081666420756,null,683822673201696873,null,27.315,62.0,sell,net,T,USDT,-0.0508059,1709308030000,2
